"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"5603","AMAT_Milan_feed","162","Q.re Binda - Famagosta","","3","","",""
"5616","AMAT_Milan_feed","68","Bonola M1 - Bergognone","","3","","",""
"5618","AMAT_Milan_feed","50","Lorenteggio / Primule - Cairoli","","3","","",""
"5626","AMAT_Milan_feed","352","Buccinasco (Romagna) - Buccinasco (Emilia)","","3","","",""
"5650","AMAT_Milan_feed","705","Cormano - Comasina M3","","3","","",""
"5661","AMAT_Milan_feed","83","Don Minzoni - Parco Nord","","3","","",""
"5663","AMAT_Milan_feed","729","Sesto S.G. - Comasina M3","","3","","",""
"5667","AMAT_Milan_feed","708","Niguarda (Parco Nord) - Sesto S.G. (4 Novembre)","","3","","",""
"5668","AMAT_Milan_feed","708","Niguarda (Parco Nord) - Sesto S.G. (Parco Nord)","","3","","",""
"5702","AMAT_Milan_feed","705","Cormano - Comasina M3 (trans in L.Modignani)","","3","","",""
"5704","AMAT_Milan_feed","165","Limbiate - Comasina M3","","3","","",""
"5705","AMAT_Milan_feed","165","Varedo - Comasina M3","","3","","",""
"5715","AMAT_Milan_feed","351","Milano (Bisceglie M1) - Buccinasco","","3","","",""
"5744","AMAT_Milan_feed","321","Buccinasco (Lario .c.se limit) - Milano","","3","","",""
"5745","AMAT_Milan_feed","321","Milano - Assago","","3","","",""
"5746","AMAT_Milan_feed","321","Corsico (Italia) - Assago","","3","","",""
"5748","AMAT_Milan_feed","352","Buccinasco (Romagna) - Assago (Milanofiori)","","3","","",""
"5749","AMAT_Milan_feed","352","Assago (Milanofiori) - Buccinasco (Romagna)","","3","","",""
"5756","AMAT_Milan_feed","70","Cim. Bruzzano - Biancamano","","3","","",""
"5757","AMAT_Milan_feed","70","Q.re Bruzzano - Biancamano","","3","","",""
"5758","AMAT_Milan_feed","70","Biancamano - Cim. Bruzzano","","3","","",""
"5759","AMAT_Milan_feed","70","Biancamano - Q.re Bruzzano","","3","","",""
"5771","AMAT_Milan_feed","59","Q.re S.Ambrogio - P.le Cantore","","3","","",""
"5782","AMAT_Milan_feed","73","Peschiera B. - San Babila","","3","","",""
"5783","AMAT_Milan_feed","73","San Babila - Peschiera B.","","3","","",""
"5785","AMAT_Milan_feed","705","Cormano - Comasina m3 (lic. per deposito)","","3","","",""
"5786","AMAT_Milan_feed","729","Sesto S.G. - Comasina m3 (lic. per deposito)","","3","","",""
"5787","AMAT_Milan_feed","708","Bresso (Don Minzoni) - Sesto S.G. (c.scolastico)","","3","","",""
"5795","AMAT_Milan_feed","83","Niguarda (Parco Nord) - Comasina M3 (con Don Minzoni)","","3","","",""
"5796","AMAT_Milan_feed","83","Niguarda (Parco Nord) - Comasina M3","","3","","",""
"5799","AMAT_Milan_feed","705","Comasina M3 - Cormano","","3","","",""
"5800","AMAT_Milan_feed","729","Comasina M3 - Sesto S.G.","","3","","",""
"5802","AMAT_Milan_feed","165","Comasina M3 - Limbiate","","3","","",""
"5804","AMAT_Milan_feed","83","Niguarda (parco nord) - Comasina m3 (con don Minzoni) (lic x dep)","","3","","",""
"5812","AMAT_Milan_feed","83","Comasina M3 - Niguarda (Parco Nord)","","3","","",""
